구분번호,발생년월,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령대,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령대,피해운전자 상해정도
2023082600100020,2023년 8월,토요일,부산광역시 사하구 하단동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,65세 이상,상해없음,보행자,남,21-30세,경상
2023082600100034,2023년 8월,토요일,부산광역시 동래구 칠산동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,원동기,남,20세 이하,상해없음,승용,남,41-50세,상해없음
2023082600100053,2023년 8월,토요일,부산광역시 사상구 삼락동,사망사고,1,0,0,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,51-60세,상해없음,보행자,남,65세 이상,사망
2023082600100122,2023년 8월,토요일,부산광역시 동래구 명장동,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,31-40세,경상,승용,남,61-64세,경상
2023082600100188,2023년 8월,토요일,부산광역시 서구 아미동1가,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,41-50세,상해없음,보행자,여,51-60세,경상
2023082600100189,2023년 8월,토요일,부산광역시 연제구 거제동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,65세 이상,기타불명,보행자,여,21-30세,경상
2023082600100190,2023년 8월,토요일,부산광역시 연제구 연산동,부상신고사고,0,0,0,1,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,화물,남,65세 이상,상해없음,승합,남,41-50세,상해없음
2023082600100191,2023년 8월,토요일,부산광역시 금정구 선동,경상사고,0,0,3,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,21-30세,상해없음,승용,남,31-40세,경상
2023082600100236,2023년 8월,토요일,부산광역시 수영구 민락동,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,65세 이상,상해없음,승용,남,31-40세,경상
2023082600100237,2023년 8월,토요일,부산광역시 부산진구 가야동,경상사고,0,0,2,0,차대차 - 기타,중앙선침범,건조,맑음,단일로 - 기타,승용,여,51-60세,상해없음,승용,남,65세 이상,상해없음
2023082600100285,2023년 8월,토요일,부산광역시 금정구 회동동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,화물,남,61-64세,경상,승용,남,41-50세,경상
2023082600100355,2023년 8월,토요일,부산광역시 부산진구 범천동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,이륜,남,51-60세,경상,승용,남,31-40세,상해없음
2023082600100356,2023년 8월,토요일,부산광역시 부산진구 전포동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,51-60세,상해없음,이륜,남,21-30세,경상
2023082600100403,2023년 8월,토요일,부산광역시 중구 남포동1가,부상신고사고,0,0,0,1,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,승합,남,31-40세,상해없음
2023082600100405,2023년 8월,토요일,부산광역시 해운대구 반여동,중상사고,0,1,0,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,이륜,남,31-40세,중상,화물,남,61-64세,상해없음
2023082600100473,2023년 8월,토요일,부산광역시 동래구 수안동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 지하차도(도로)내,화물,남,51-60세,상해없음,승용,남,41-50세,경상
